year,side,team,score
1990,Winner,Collingwood,89
1990,Runner-up,Essendon,41
1991,Winner,Hawthorn,139
1991,Runner-up,West Coast,86
1992,Winner,West Coast,113
1992,Runner-up,Geelong,85
1993,Winner,Essendon,133
1993,Runner-up,Carlton,89
1994,Winner,West Coast,143
1994,Runner-up,Geelong,63
1995,Winner,Carlton,141
1995,Runner-up,Geelong,80
1996,Winner,North Melbourne,131
1996,Runner-up,Sydney,88
1997,Winner,Adelaide,125
1997,Runner-up,St Kilda,94
1998,Winner,Adelaide,105
1998,Runner-up,North Melbourne,70
1999,Winner,North Melbourne,124
1999,Runner-up,Carlton,89
2000,Winner,Essendon,135
2000,Runner-up,Melbourne,75
2001,Winner,Brisbane Lions,108
2001,Runner-up,Essendon,82
2002,Winner,Brisbane Lions,75
2002,Runner-up,Collingwood,66
2003,Winner,Brisbane Lions,134
2003,Runner-up,Collingwood,84
2004,Winner,Port Adelaide,113
2004,Runner-up,Brisbane Lions,73
2005,Winner,Sydney,58
2005,Runner-up,West Coast,54
2006,Winner,West Coast,85
2006,Runner-up,Sydney,84
2007,Winner,Geelong,163
2007,Runner-up,Port Adelaide,44
2008,Winner,Hawthorn,115
2008,Runner-up,Geelong,89
2009,Winner,Geelong,80
2009,Runner-up,St Kilda,68
2010,Winner,Collingwood,108
2010,Runner-up,St Kilda,52
2011,Winner,Geelong,119
2011,Runner-up,Collingwood,81
2012,Winner,Sydney,91
2012,Runner-up,Hawthorn,81
2013,Winner,Hawthorn,77
2013,Runner-up,Fremantle,62
2014,Winner,Hawthorn,137
2014,Runner-up,Sydney,74
2015,Winner,Hawthorn,107
2015,Runner-up,West Coast,61
2016,Winner,Western Bulldogs,89
2016,Runner-up,Sydney,67
2017,Winner,Richmond,108
2017,Runner-up,Adelaide,60
2018,Winner,West Coast,79
2018,Runner-up,Collingwood,74
2019,Winner,Richmond,114
2019,Runner-up,Greater Western Sydney,25
2020,Winner,Richmond,81
2020,Runner-up,Geelong,50
2021,Winner,Melbourne,140
2021,Runner-up,Western Bulldogs,66
2022,Winner,Geelong,133
2022,Runner-up,Sydney,52
2023,Winner,Collingwood,90
2023,Runner-up,Brisbane Lions,86
2024,Winner,Brisbane Lions,120
2024,Runner-up,Sydney,60
2025,Winner,Brisbane Lions,122
2025,Runner-up,Geelong,75
