match_id,year,round,round_name,date,venue,venue_state,venue_lat,venue_lon,hteam,ateam,hscore,ascore,winner,margin,is_final,is_grand_final
23325,1990,1,Round 1,1990-03-31,Princes Park,VIC,-37.7847,144.9614,Carlton,Sydney,99,104,Sydney,5,0,0
23326,1990,1,Round 1,1990-03-31,Windy Hill,VIC,-37.7468,144.918,Essendon,Fitzroy,141,60,Essendon,81,0,0
23327,1990,1,Round 1,1990-03-31,Waverley Park,VIC,-37.932,145.188,Geelong,Hawthorn,77,192,Hawthorn,115,0,0
23328,1990,1,Round 1,1990-03-31,M.C.G.,VIC,-37.82,144.9834,North Melbourne,Melbourne,89,142,Melbourne,53,0,0
23329,1990,1,Round 1,1990-03-31,Carrara,QLD,-28.0067,153.3672,Brisbane Lions,Richmond,133,74,Brisbane Lions,59,0,0
23331,1990,1,Round 1,1990-04-01,Subiaco,WA,-31.9442,115.8262,West Coast,Collingwood,100,54,West Coast,46,0,0
23330,1990,1,Round 1,1990-04-01,Western Oval,VIC,-37.7986,144.8865,Western Bulldogs,St Kilda,81,144,St Kilda,63,0,0
23261,1990,2,Round 2,1990-04-06,M.C.G.,VIC,-37.82,144.9834,Richmond,North Melbourne,68,209,North Melbourne,141,0,0
23263,1990,2,Round 2,1990-04-07,Waverley Park,VIC,-37.932,145.188,Carlton,Collingwood,87,122,Collingwood,35,0,0
23264,1990,2,Round 2,1990-04-07,M.C.G.,VIC,-37.82,144.9834,Melbourne,Geelong,128,91,Melbourne,37,0,0
23265,1990,2,Round 2,1990-04-07,Moorabbin Oval,VIC,-37.9405,145.0394,St Kilda,West Coast,127,69,St Kilda,58,0,0
23262,1990,2,Round 2,1990-04-07,Princes Park,VIC,-37.7847,144.9614,Fitzroy,Brisbane Lions,98,59,Fitzroy,39,0,0
23266,1990,2,Round 2,1990-04-08,M.C.G.,VIC,-37.82,144.9834,Essendon,Hawthorn,159,97,Essendon,62,0,0
23267,1990,2,Round 2,1990-04-08,S.C.G.,NSW,-33.8917,151.2244,Sydney,Western Bulldogs,78,140,Western Bulldogs,62,0,0
23313,1990,3,Round 3,1990-04-14,Princes Park,VIC,-37.7847,144.9614,Hawthorn,Richmond,111,81,Hawthorn,30,0,0
23311,1990,3,Round 3,1990-04-14,Waverley Park,VIC,-37.932,145.188,St Kilda,Carlton,76,92,Carlton,16,0,0
23312,1990,3,Round 3,1990-04-14,Western Oval,VIC,-37.7986,144.8865,Western Bulldogs,West Coast,59,122,West Coast,63,0,0
23314,1990,3,Round 3,1990-04-15,Carrara,QLD,-28.0067,153.3672,Brisbane Lions,North Melbourne,95,113,North Melbourne,18,0,0
23315,1990,3,Round 3,1990-04-16,Victoria Park,VIC,-37.8067,144.9919,Collingwood,Sydney,128,93,Collingwood,35,0,0
23317,1990,3,Round 3,1990-04-16,Kardinia Park,VIC,-38.1581,144.3544,Geelong,Fitzroy,150,77,Geelong,73,0,0
23316,1990,3,Round 3,1990-04-16,M.C.G.,VIC,-37.82,144.9834,Melbourne,Essendon,122,95,Melbourne,27,0,0
23207,1990,4,Round 4,1990-04-20,W.A.C.A.,WA,-31.9598,115.8804,West Coast,Carlton,120,70,West Coast,50,0,0
23209,1990,4,Round 4,1990-04-21,Victoria Park,VIC,-37.8067,144.9919,Collingwood,Western Bulldogs,96,78,Collingwood,18,0,0
23208,1990,4,Round 4,1990-04-21,Princes Park,VIC,-37.7847,144.9614,Hawthorn,Brisbane Lions,120,38,Hawthorn,82,0,0
23210,1990,4,Round 4,1990-04-21,M.C.G.,VIC,-37.82,144.9834,Richmond,Essendon,49,127,Essendon,78,0,0
23211,1990,4,Round 4,1990-04-21,Waverley Park,VIC,-37.932,145.188,Fitzroy,Melbourne,64,89,Melbourne,25,0,0
23212,1990,4,Round 4,1990-04-22,M.C.G.,VIC,-37.82,144.9834,North Melbourne,Geelong,112,143,Geelong,31,0,0
23213,1990,4,Round 4,1990-04-22,S.C.G.,NSW,-33.8917,151.2244,Sydney,St Kilda,97,131,St Kilda,34,0,0
23214,1990,5,Round 5,1990-04-25,Princes Park,VIC,-37.7847,144.9614,Carlton,Western Bulldogs,76,103,Western Bulldogs,27,0,0
23215,1990,5,Round 5,1990-04-25,M.C.G.,VIC,-37.82,144.9834,Richmond,Fitzroy,143,64,Richmond,79,0,0
23217,1990,5,Round 5,1990-04-28,Waverley Park,VIC,-37.932,145.188,Essendon,Geelong,81,89,Geelong,8,0,0
23218,1990,5,Round 5,1990-04-28,Princes Park,VIC,-37.7847,144.9614,Hawthorn,North Melbourne,108,78,Hawthorn,30,0,0
23216,1990,5,Round 5,1990-04-28,M.C.G.,VIC,-37.82,144.9834,St Kilda,Collingwood,91,92,Collingwood,1,0,0
23219,1990,5,Round 5,1990-04-28,Carrara,QLD,-28.0067,153.3672,Brisbane Lions,Melbourne,61,125,Melbourne,64,0,0
23220,1990,5,Round 5,1990-04-29,Subiaco,WA,-31.9442,115.8262,West Coast,Sydney,128,67,West Coast,61,0,0
23253,1990,6,Round 6,1990-05-04,M.C.G.,VIC,-37.82,144.9834,Richmond,West Coast,68,103,West Coast,35,0,0
23255,1990,6,Round 6,1990-05-05,Princes Park,VIC,-37.7847,144.9614,Carlton,North Melbourne,133,103,Carlton,30,0,0
23256,1990,6,Round 6,1990-05-05,M.C.G.,VIC,-37.82,144.9834,Collingwood,Essendon,75,101,Essendon,26,0,0
23254,1990,6,Round 6,1990-05-05,Kardinia Park,VIC,-38.1581,144.3544,Geelong,Brisbane Lions,151,80,Geelong,71,0,0
23258,1990,6,Round 6,1990-05-05,Moorabbin Oval,VIC,-37.9405,145.0394,St Kilda,Hawthorn,104,101,St Kilda,3,0,0
23257,1990,6,Round 6,1990-05-05,Waverley Park,VIC,-37.932,145.188,Western Bulldogs,Fitzroy,82,50,Western Bulldogs,32,0,0
23259,1990,6,Round 6,1990-05-06,S.C.G.,NSW,-33.8917,151.2244,Sydney,Melbourne,98,93,Sydney,5,0,0
23235,1990,7,Round 7,1990-05-11,M.C.G.,VIC,-37.82,144.9834,Melbourne,West Coast,116,61,Melbourne,55,0,0
23237,1990,7,Round 7,1990-05-12,Waverley Park,VIC,-37.932,145.188,Collingwood,Hawthorn,92,94,Hawthorn,2,0,0
23236,1990,7,Round 7,1990-05-12,Windy Hill,VIC,-37.7468,144.918,Essendon,Carlton,91,111,Carlton,20,0,0
