year,winner,runner_up,winner_score,loser_score,margin,venue
1990,Collingwood,Essendon,89,41,48,M.C.G.
1991,Hawthorn,West Coast,139,86,53,Waverley Park
1992,West Coast,Geelong,113,85,28,M.C.G.
1993,Essendon,Carlton,133,89,44,M.C.G.
1994,West Coast,Geelong,143,63,80,M.C.G.
1995,Carlton,Geelong,141,80,61,M.C.G.
1996,North Melbourne,Sydney,131,88,43,M.C.G.
1997,Adelaide,St Kilda,125,94,31,M.C.G.
1998,Adelaide,North Melbourne,105,70,35,M.C.G.
1999,North Melbourne,Carlton,124,89,35,M.C.G.
2000,Essendon,Melbourne,135,75,60,M.C.G.
2001,Brisbane Lions,Essendon,108,82,26,M.C.G.
2002,Brisbane Lions,Collingwood,75,66,9,M.C.G.
2003,Brisbane Lions,Collingwood,134,84,50,M.C.G.
2004,Port Adelaide,Brisbane Lions,113,73,40,M.C.G.
2005,Sydney,West Coast,58,54,4,M.C.G.
2006,West Coast,Sydney,85,84,1,M.C.G.
2007,Geelong,Port Adelaide,163,44,119,M.C.G.
2008,Hawthorn,Geelong,115,89,26,M.C.G.
2009,Geelong,St Kilda,80,68,12,M.C.G.
2010,Collingwood,St Kilda,108,52,56,M.C.G.
2011,Geelong,Collingwood,119,81,38,M.C.G.
2012,Sydney,Hawthorn,91,81,10,M.C.G.
2013,Hawthorn,Fremantle,77,62,15,M.C.G.
2014,Hawthorn,Sydney,137,74,63,M.C.G.
2015,Hawthorn,West Coast,107,61,46,M.C.G.
2016,Western Bulldogs,Sydney,89,67,22,M.C.G.
2017,Richmond,Adelaide,108,60,48,M.C.G.
2018,West Coast,Collingwood,79,74,5,M.C.G.
2019,Richmond,Greater Western Sydney,114,25,89,M.C.G.
2020,Richmond,Geelong,81,50,31,Gabba
2021,Melbourne,Western Bulldogs,140,66,74,Perth Stadium
2022,Geelong,Sydney,133,52,81,M.C.G.
2023,Collingwood,Brisbane Lions,90,86,4,M.C.G.
2024,Brisbane Lions,Sydney,120,60,60,M.C.G.
2025,Brisbane Lions,Geelong,122,75,47,M.C.G.
