year,team_id,team,rank,played,wins,losses,draws,points_for,points_against,percentage,premiership_pts
1990,5,Essendon,1,22,17,5,0,2526,1815,139.17,68
1990,4,Collingwood,2,22,16,6,0,2376,1825,130.19,64
1990,17,West Coast,3,22,16,6,0,2274,1920,118.44,64
1990,11,Melbourne,4,22,16,6,0,2339,2066,113.21,64
1990,10,Hawthorn,5,22,14,8,0,2414,2002,120.58,56
1990,12,North Melbourne,6,22,12,10,0,2519,2210,113.98,48
1990,18,Western Bulldogs,7,22,12,10,0,2016,2031,99.26,48
1990,3,Carlton,8,22,11,11,0,2277,2187,104.12,44
1990,15,St Kilda,9,22,9,13,0,2328,2313,100.65,36
1990,7,Geelong,10,22,8,14,0,2248,2398,93.74,32
1990,14,Richmond,11,22,7,15,0,1988,2530,78.58,28
1990,19,Fitzroy,12,22,7,15,0,1874,2389,78.44,28
1990,16,Sydney,13,22,5,17,0,1904,2704,70.41,20
1990,2,Brisbane Lions,14,22,4,18,0,1733,2426,71.43,16
1991,17,West Coast,1,22,19,3,0,2485,1532,162.21,76
1991,10,Hawthorn,2,22,16,6,0,2793,2055,135.91,64
1991,7,Geelong,3,22,16,6,0,2660,2021,131.62,64
1991,15,St Kilda,4,22,14,7,1,2512,2087,120.36,58
1991,11,Melbourne,5,22,13,9,0,2355,2123,110.93,52
1991,5,Essendon,6,22,13,9,0,2203,2017,109.22,52
1991,4,Collingwood,7,22,12,9,1,2349,2033,115.54,50
1991,12,North Melbourne,8,22,12,10,0,2456,2693,91.2,48
1991,1,Adelaide,9,22,10,12,0,2041,2282,89.44,40
1991,18,Western Bulldogs,10,22,9,12,1,1815,2064,87.94,38
1991,3,Carlton,11,22,8,14,0,1878,2113,88.88,32
1991,16,Sydney,12,22,7,14,1,2360,2778,84.95,30
1991,14,Richmond,13,22,7,15,0,2141,2450,87.39,28
1991,19,Fitzroy,14,22,4,18,0,1837,2771,66.29,16
1991,2,Brisbane Lions,15,22,3,19,0,1976,2842,69.53,12
1992,7,Geelong,1,22,16,6,0,3057,2099,145.64,64
1992,18,Western Bulldogs,2,22,16,6,0,2384,1836,129.85,64
1992,4,Collingwood,3,22,16,6,0,2195,1911,114.86,64
1992,17,West Coast,4,22,15,6,1,2206,1752,125.91,62
1992,10,Hawthorn,5,22,14,8,0,2579,2098,122.93,56
1992,15,St Kilda,6,22,14,8,0,2415,2009,120.21,56
1992,3,Carlton,7,22,14,8,0,2362,2103,112.32,56
1992,5,Essendon,8,22,12,10,0,2241,2414,92.83,48
1992,1,Adelaide,9,22,11,11,0,2317,2286,101.36,44
1992,19,Fitzroy,10,22,9,13,0,2166,2398,90.33,36
1992,11,Melbourne,11,22,7,14,1,2083,2386,87.3,30
1992,12,North Melbourne,12,22,7,15,0,2269,2535,89.51,28
1992,14,Richmond,13,22,5,17,0,2160,2938,73.52,20
