team,state,primary_color,lat,lon,games_1990_2025,wins_1990_2025,premierships,win_pct,display_lat,display_lon,abbrev
Adelaide,SA,#002B5C,-34.9285,138.6007,803,415,2,51.7,-33.2000,137.8000,ADE
Brisbane Lions,QLD,#A30046,-27.4698,153.0251,833,396,5,47.5,-25.0000,151.8000,BRI
Carlton,VIC,#031A29,-37.7833,144.9667,817,363,1,44.4,-38.8000,143.5000,CAR
Collingwood,VIC,#000000,-37.8019,144.9897,836,457,3,54.7,-38.8000,145.2000,COL
Essendon,VIC,#CC2031,-37.7515,144.918,822,414,2,50.4,-38.8000,146.9000,ESS
Fremantle,WA,#2A0D54,-32.0569,115.747,698,320,0,45.8,-33.8000,117.1000,FRE
Geelong,VIC,#1C3C63,-38.1499,144.3617,855,542,4,63.4,-39.3000,142.9000,GEE
Gold Coast,QLD,#D71920,-28.0167,153.4,330,105,0,31.8,-29.2000,153.9000,GCS
Greater Western Sydney,NSW,#F47920,-33.843,151.068,325,154,0,47.4,-35.2000,150.1000,GWS
Hawthorn,VIC,#4D2004,-37.8222,145.0354,832,452,5,54.3,-37.3000,143.5000,HAW
Melbourne,VIC,#0F1131,-37.8136,144.9631,817,355,1,43.5,-37.3000,145.2000,MEL
North Melbourne,VIC,#013A81,-37.7986,144.9456,823,392,2,47.6,-37.3000,146.9000,NOR
Port Adelaide,SA,#008AAB,-34.8483,138.5079,668,357,1,53.4,-36.3000,138.3000,POR
Richmond,VIC,#FFD200,-37.8197,145.0011,810,362,3,44.7,-35.8000,143.5000,RIC
St Kilda,VIC,#ED1B2F,-37.8675,144.9802,816,385,0,47.2,-35.8000,145.2000,STK
Sydney,NSW,#ED1B2F,-33.891,151.2243,840,445,2,53.0,-32.2000,152.3000,SYD
West Coast,WA,#003087,-31.9505,115.8605,842,443,4,52.6,-30.0000,114.8000,WCE
Western Bulldogs,VIC,#014A99,-37.7984,144.8932,825,417,1,50.5,-35.8000,146.9000,WBD
