team,year,km
Brisbane Lions,1990,17531
Carlton,1990,3564
Collingwood,1990,5021
Essendon,1990,2349
Geelong,1990,5589
Hawthorn,1990,4300
Melbourne,1990,5026
North Melbourne,1990,1522
Richmond,1990,4930
St Kilda,1990,3645
Sydney,1990,10462
West Coast,1990,42363
Western Bulldogs,1990,4965
Adelaide,1991,9272
Brisbane Lions,1991,15254
Carlton,1991,2947
Collingwood,1991,4317
Essendon,1991,5732
Geelong,1991,5807
Hawthorn,1991,7707
Melbourne,1991,5647
North Melbourne,1991,5622
Richmond,1991,2203
St Kilda,1991,6333
Sydney,1991,10943
West Coast,1991,38564
Western Bulldogs,1991,4929
Adelaide,1992,9731
Brisbane Lions,1992,17753
Carlton,1992,4924
Collingwood,1992,5594
Essendon,1992,2853
Geelong,1992,6389
Hawthorn,1992,5119
Melbourne,1992,5606
North Melbourne,1992,1525
Richmond,1992,4272
St Kilda,1992,3711
Sydney,1992,10851
West Coast,1992,37166
Western Bulldogs,1992,5673
Adelaide,1993,11573
Brisbane Lions,1993,15996
Carlton,1993,3555
Collingwood,1993,2101
Essendon,1993,3735
Geelong,1993,6085
Hawthorn,1993,5768
Melbourne,1993,2832
North Melbourne,1993,5634
Richmond,1993,4907
St Kilda,1993,1717
Sydney,1993,7129
West Coast,1993,33542
Western Bulldogs,1993,3501
Adelaide,1994,10230
Brisbane Lions,1994,17027
Carlton,1994,4257
Collingwood,1994,4895
Essendon,1994,4999
Geelong,1994,2437
Hawthorn,1994,5746
Melbourne,1994,5648
North Melbourne,1994,5015
Richmond,1994,5621
St Kilda,1994,5155
Sydney,1994,10956
West Coast,1994,32068
Western Bulldogs,1994,4962
Adelaide,1995,10224
Brisbane Lions,1995,20631
Carlton,1995,7634
Collingwood,1995,4951
Essendon,1995,7739
Fremantle,1995,27415
Geelong,1995,4325
Hawthorn,1995,2373
Melbourne,1995,7633
North Melbourne,1995,7598
Richmond,1995,5572
St Kilda,1995,5764
Sydney,1995,13538
West Coast,1995,32482
Western Bulldogs,1995,7011
Adelaide,1996,7801
Brisbane Lions,1996,20627
Carlton,1996,11077
Collingwood,1996,8263
Essendon,1996,7755
Fremantle,1996,28263
Geelong,1996,4761
Hawthorn,1996,5854
Melbourne,1996,8319
North Melbourne,1996,7598
Richmond,1996,4961
St Kilda,1996,6463
Sydney,1996,14143
West Coast,1996,30825
Western Bulldogs,1996,2297
Adelaide,1997,10390
Brisbane Lions,1997,21426
Carlton,1997,4883
Collingwood,1997,3480
Essendon,1997,8980
