team,year,km,rank
Brisbane Lions,1990,17531,14
Carlton,1990,3564,8
Collingwood,1990,5021,2
Essendon,1990,2349,1
Geelong,1990,5589,10
Hawthorn,1990,4300,5
Melbourne,1990,5026,4
North Melbourne,1990,1522,6
Richmond,1990,4930,11
St Kilda,1990,3645,9
Sydney,1990,10462,13
West Coast,1990,42363,3
Western Bulldogs,1990,4965,7
Adelaide,1991,9272,9
Brisbane Lions,1991,15254,15
Carlton,1991,2947,11
Collingwood,1991,4317,7
Essendon,1991,5732,6
Geelong,1991,5807,3
Hawthorn,1991,7707,2
Melbourne,1991,5647,5
North Melbourne,1991,5622,8
Richmond,1991,2203,13
St Kilda,1991,6333,4
Sydney,1991,10943,12
West Coast,1991,38564,1
Western Bulldogs,1991,4929,10
Adelaide,1992,9731,9
Brisbane Lions,1992,17753,14
Carlton,1992,4924,7
Collingwood,1992,5594,3
Essendon,1992,2853,8
Geelong,1992,6389,1
Hawthorn,1992,5119,5
Melbourne,1992,5606,11
North Melbourne,1992,1525,12
Richmond,1992,4272,13
St Kilda,1992,3711,6
Sydney,1992,10851,15
West Coast,1992,37166,4
Western Bulldogs,1992,5673,2
Adelaide,1993,11573,5
Brisbane Lions,1993,15996,13
Carlton,1993,3555,2
Collingwood,1993,2101,8
Essendon,1993,3735,1
Geelong,1993,6085,7
Hawthorn,1993,5768,4
Melbourne,1993,2832,10
North Melbourne,1993,5634,3
Richmond,1993,4907,14
St Kilda,1993,1717,12
Sydney,1993,7129,15
West Coast,1993,33542,6
Western Bulldogs,1993,3501,9
Adelaide,1994,10230,11
Brisbane Lions,1994,17027,12
Carlton,1994,4257,2
Collingwood,1994,4895,8
Essendon,1994,4999,10
Geelong,1994,2437,4
Hawthorn,1994,5746,6
Melbourne,1994,5648,7
North Melbourne,1994,5015,3
Richmond,1994,5621,9
St Kilda,1994,5155,13
Sydney,1994,10956,15
West Coast,1994,32068,1
Western Bulldogs,1994,4962,5
Adelaide,1995,10224,11
Brisbane Lions,1995,20631,8
Carlton,1995,7634,1
Collingwood,1995,4951,10
Essendon,1995,7739,4
Fremantle,1995,27415,13
Geelong,1995,4325,2
Hawthorn,1995,2373,15
Melbourne,1995,7633,9
North Melbourne,1995,7598,6
Richmond,1995,5572,3
St Kilda,1995,5764,14
Sydney,1995,13538,12
West Coast,1995,32482,5
Western Bulldogs,1995,7011,7
Adelaide,1996,7801,12
Brisbane Lions,1996,20627,3
Carlton,1996,11077,5
Collingwood,1996,8263,11
Essendon,1996,7755,6
Fremantle,1996,28263,13
Geelong,1996,4761,7
Hawthorn,1996,5854,8
Melbourne,1996,8319,14
North Melbourne,1996,7598,2
Richmond,1996,4961,9
St Kilda,1996,6463,10
Sydney,1996,14143,1
West Coast,1996,30825,4
Western Bulldogs,1996,2297,15
Adelaide,1997,10390,4
Brisbane Lions,1997,21426,8
Carlton,1997,4883,11
Collingwood,1997,3480,10
Essendon,1997,8980,14
Fremantle,1997,26856,12
Geelong,1997,9436,2
Hawthorn,1997,7858,15
Melbourne,1997,6892,16
North Melbourne,1997,2873,7
Port Adelaide,1997,9132,9
Richmond,1997,6257,13
St Kilda,1997,9221,1
Sydney,1997,14687,6
West Coast,1997,32933,5
Western Bulldogs,1997,6983,3
Adelaide,1998,14182,5
Brisbane Lions,1998,16792,16
Carlton,1998,6833,11
Collingwood,1998,5547,14
Essendon,1998,3635,8
Fremantle,1998,26265,15
Geelong,1998,2735,12
Hawthorn,1998,9169,13
Melbourne,1998,8919,4
