year,state,games
1990,NSW,11
1990,QLD,11
1990,VIC,128
1990,WA,11
1991,NSW,11
1991,QLD,11
1991,SA,11
1991,TAS,2
1991,VIC,125
1991,WA,12
1992,NSW,11
1992,QLD,11
1992,SA,11
1992,TAS,2
1992,VIC,125
1992,WA,12
1993,NSW,10
1993,QLD,10
1993,SA,10
1993,VIC,117
1993,WA,10
1994,NSW,11
1994,QLD,11
1994,SA,11
1994,VIC,128
1994,WA,13
1995,ACT,1
1995,NSW,11
1995,QLD,11
1995,SA,11
1995,VIC,129
1995,WA,22
1996,NSW,13
1996,QLD,13
1996,SA,11
1996,VIC,125
1996,WA,23
1997,NSW,11
1997,QLD,11
1997,SA,24
1997,VIC,117
1997,WA,22
1998,ACT,1
1998,NSW,13
1998,QLD,11
1998,SA,22
1998,VIC,116
1998,WA,22
1999,NSW,15
1999,QLD,13
1999,SA,22
1999,VIC,113
1999,WA,22
2000,NSW,15
2000,QLD,12
2000,SA,22
2000,VIC,114
2000,WA,22
2001,ACT,3
2001,NSW,13
2001,QLD,14
2001,SA,23
2001,TAS,1
2001,VIC,109
2001,WA,22
2002,ACT,3
2002,NSW,13
2002,QLD,14
2002,SA,24
2002,TAS,2
2002,VIC,107
2002,WA,22
2003,ACT,2
2003,NSW,13
2003,QLD,13
2003,SA,25
2003,TAS,4
2003,VIC,105
2003,WA,23
2004,ACT,3
2004,NSW,13
2004,NT,1
2004,QLD,13
2004,SA,24
2004,TAS,4
2004,VIC,105
2004,WA,22
2005,ACT,3
2005,NSW,13
2005,NT,1
2005,QLD,12
2005,SA,24
2005,TAS,4
2005,VIC,104
2005,WA,24
2006,ACT,3
2006,NSW,13
2006,NT,1
2006,QLD,14
2006,SA,24
2006,TAS,5
2006,VIC,100
2006,WA,25
2007,ACT,2
2007,NSW,11
2007,NT,1
2007,QLD,15
2007,SA,24
2007,TAS,4
2007,VIC,105
2007,WA,23
2008,ACT,2
2008,NSW,12
2008,NT,1
2008,QLD,14
2008,SA,23
2008,TAS,4
2008,VIC,107
2008,WA,22
2009,ACT,2
2009,NSW,11
2009,NT,1
2009,QLD,15
2009,SA,23
2009,TAS,4
2009,VIC,107
2009,WA,22
2010,ACT,1
2010,NSW,12
2010,NT,2
2010,QLD,11
2010,SA,22
2010,TAS,4
2010,VIC,111
2010,WA,23
2011,ACT,1
2011,NSW,11
2011,NT,2
2011,QLD,23
2011,SA,22
2011,TAS,4
2011,VIC,110
2011,WA,23
2012,ACT,3
2012,NSW,20
2012,NT,2
2012,QLD,23
2012,SA,24
2012,TAS,6
2012,VIC,106
2012,WA,23
2013,ACT,3
2013,NSW,20
2013,NT,2
2013,NZ,1
2013,QLD,23
2013,SA,22
2013,TAS,6
2013,VIC,107
2013,WA,23
2014,ACT,3
2014,NSW,21
2014,NT,2
2014,NZ,1
2014,QLD,23
2014,SA,23
2014,TAS,6
2014,VIC,105
2014,WA,23
2015,ACT,3
2015,NSW,20
2015,NT,2
2015,NZ,1
2015,QLD,23
2015,SA,21
2015,TAS,7
2015,VIC,103
2015,WA,26
2016,ACT,3
2016,NSW,22
2016,NT,2
2016,QLD,23
2016,SA,23
2016,TAS,7
2016,VIC,104
2016,WA,23
2017,ACT,3
2017,CN,1
2017,NSW,21
2017,NT,2
2017,QLD,22
2017,SA,25
2017,TAS,7
2017,VIC,104
2017,WA,22
2018,ACT,3
2018,CN,1
2018,NSW,20
2018,NT,2
2018,QLD,20
2018,SA,22
2018,TAS,7
2018,VIC,107
2018,WA,25
2019,ACT,3
2019,CN,1
2019,NSW,20
2019,NT,2
2019,QLD,24
2019,SA,22
2019,TAS,8
2019,VIC,104
2019,WA,23
2020,NSW,14
2020,NT,3
2020,QLD,83
2020,SA,22
2020,VIC,23
2020,WA,17
2021,ACT,2
2021,NSW,17
2021,QLD,25
2021,SA,23
2021,TAS,14
2021,VIC,101
2021,WA,25
2022,ACT,4
2022,NSW,19
2022,NT,3
2022,QLD,22
2022,SA,22
2022,TAS,8
2022,VIC,106
2022,WA,23
2023,ACT,3
2023,NSW,19
2023,NT,3
2023,QLD,22
2023,SA,32
2023,TAS,8
2023,VIC,107
2023,WA,22
2024,ACT,3
2024,NSW,22
2024,NT,3
2024,QLD,21
2024,SA,33
2024,TAS,8
2024,VIC,104
2024,WA,22
2025,ACT,3
2025,NSW,20
2025,NT,3
2025,QLD,21
2025,SA,33
2025,TAS,6
2025,VIC,105
2025,WA,25
